Id_code,Year,deaths,injured,road_acc
1257,2021,0,20,14
1257,2022,0,23,15
1257,2023,0,16,13
1257,2024,1,15,10
1258,2021,0,0,0
1258,2022,0,2,1
1258,2023,0,0,0
1258,2024,0,1,1
1259,2021,0,0,0
1259,2022,0,0,0
1259,2023,0,0,0
1259,2024,0,3,1
1260,2021,0,6,3
1260,2022,0,1,1
1260,2023,0,5,3
1260,2024,0,5,3
1261,2021,0,2,2
1261,2022,0,3,2
1261,2023,0,5,5
1261,2024,0,11,6
1262,2021,0,0,0
1262,2022,0,0,0
1262,2023,0,2,1
1262,2024,0,2,1
1263,2021,0,0,0
1263,2022,0,3,2
1263,2023,0,1,1
1263,2024,0,2,2
1264,2021,0,0,0
1264,2022,3,5,3
1264,2023,0,3,3
1265,2021,1,140,101
1265,2022,1,154,107
1265,2023,0,171,111
1265,2024,0,174,122
1266,2021,1,0,1
1266,2022,0,4,4
1266,2023,0,6,4
1266,2024,0,3,2
1267,2021,0,0,0
1267,2022,0,1,1
1267,2023,0,3,2
1267,2024,0,1,1
1268,2021,0,6,3
1268,2022,0,4,3
1268,2023,0,0,0
1269,2021,0,13,11
1269,2022,2,10,10
1269,2023,0,18,15
1269,2024,0,15,9
1270,2021,1,29,19
1270,2022,0,27,20
1270,2023,1,36,25
1270,2024,0,26,21
1271,2021,0,3,2
1271,2022,0,2,1
1271,2023,0,1,1
1271,2024,0,1,1
1272,2021,15,3918,2793
1272,2022,31,4163,2935
1272,2023,23,4131,2918
1272,2024,16,4288,2968
1273,2021,0,7,5
1273,2022,0,0,0
1273,2023,0,2,2
1273,2024,1,14,6
1274,2021,0,4,3
1274,2022,0,3,2
1274,2023,0,0,0
1274,2024,0,6,3
1275,2021,0,6,4
1275,2022,0,5,5
1275,2023,0,1,1
1275,2024,1,6,5
1276,2021,1,15,8
1276,2022,0,8,6
1276,2023,0,14,10
1276,2024,0,1,1
1278,2021,1,2,2
1278,2022,0,0,0
1278,2023,0,0,0
1279,2021,0,2,1
1279,2022,0,6,3
1279,2023,0,6,2
1279,2024,0,2,2
1280,2021,0,16,14
1280,2022,0,14,9
1280,2023,0,10,10
1280,2024,0,8,4
1281,2021,0,1,1
1281,2022,0,0,0
1281,2023,0,0,0
1281,2024,0,3,3
1282,2021,0,1,1
1282,2022,0,0,0
1282,2023,0,0,0
1283,2021,0,2,2
1283,2022,0,3,3
1283,2023,0,1,1
1284,2021,0,5,4
1284,2022,0,5,5
1284,2023,0,5,4
1284,2024,0,2,2
1285,2021,0,1,1
1285,2022,0,1,1
1285,2023,0,1,1
1286,2021,0,0,0
1286,2022,0,0,0
1286,2023,0,0,0
1286,2024,0,4,2
1287,2021,0,6,2
1287,2022,0,5,3
1287,2023,0,0,0
1287,2024,0,2,2
1288,2021,0,1,1
1288,2022,0,0,0
1288,2023,0,0,0
1289,2021,0,1,1
1289,2022,0,3,2
1289,2023,0,3,2
1289,2024,0,3,3
1290,2021,0,6,4
1290,2022,1,2,3
1290,2023,0,0,0
1291,2021,0,4,3
1291,2022,0,2,2
1291,2023,1,4,4
1291,2024,0,3,2
1292,2021,0,103,76
1292,2022,0,110,79
1292,2023,1,77,59
1292,2024,1,101,71
1293,2021,0,10,7
1293,2022,1,29,16
1293,2023,0,39,20
1293,2024,1,17,8
1294,2021,0,3,2
1294,2022,0,2,2
1294,2023,0,3,2
1294,2024,0,4,3
1295,2021,0,8,5
1295,2022,0,0,0
1295,2023,0,3,2
1295,2024,0,6,4
1296,2021,0,1,1
1296,2022,0,0,0
1296,2023,0,0,0
1298,2021,0,0,0
1298,2022,0,0,0
1298,2023,0,0,0
1299,2021,0,6,6
1299,2022,0,14,8
1299,2023,1,7,5
1299,2024,0,6,6
1300,2021,0,8,5
1300,2022,0,4,3
1300,2023,0,5,5
1300,2024,0,5,2
1301,2021,0,0,0
1301,2022,0,4,3
1301,2023,0,4,4
1301,2024,0,2,1
1302,2021,0,1,1
1302,2022,0,5,3
1302,2023,0,9,5
1302,2024,0,5,3
1303,2021,0,5,3
1303,2022,1,11,9
1303,2023,0,1,1
1303,2024,0,13,6
1304,2021,0,3,3
1304,2022,1,0,1
1304,2023,0,0,0
1304,2024,0,10,5
1305,2021,0,10,4
1305,2022,0,8,5
1305,2023,0,5,3
1305,2024,0,2,2
1306,2021,0,2,1
1306,2022,0,0,0
1306,2023,0,2,1
1306,2024,1,0,1
1307,2021,1,7,5
1307,2022,0,9,6
1307,2023,0,10,5
1307,2024,0,4,3
1308,2021,0,10,7
1308,2022,2,21,11
1308,2023,0,6,5
1308,2024,0,9,6
1309,2021,0,14,14
1309,2022,0,18,14
1309,2023,0,20,17
1309,2024,0,17,11
1310,2021,0,1,1
1310,2022,0,1,1
1310,2023,0,3,2
1310,2024,0,1,1
1311,2021,0,4,2
1311,2022,0,8,2
1311,2023,0,0,0
1311,2024,0,5,3
1312,2021,0,0,0
1312,2022,0,1,1
1312,2023,0,0,0
1313,2021,0,2,2
1313,2022,0,3,2
1313,2023,0,0,0
1313,2024,0,6,3
1314,2021,0,45,28
1314,2022,0,43,32
1314,2023,1,45,36
1314,2024,1,42,29
1315,2021,1,7,5
